date,url
4q2000,https://www.federalreserve.gov/fomc/minutes/20001219.htm
1q2001,https://www.federalreserve.gov/fomc/minutes/20010320.htm
2q2001,https://www.federalreserve.gov/fomc/minutes/20010627.htm
3q2001,https://www.federalreserve.gov/fomc/minutes/20011002.htm
4q2001,https://www.federalreserve.gov/fomc/minutes/20011211.htm
1q2002,https://www.federalreserve.gov/fomc/minutes/20020319.htm
2q2002,https://www.federalreserve.gov/fomc/minutes/20020626.htm
3q2002,https://www.federalreserve.gov/fomc/minutes/20020924.htm
4q2002,https://www.federalreserve.gov/fomc/minutes/20021210.htm
1q2003,https://www.federalreserve.gov/fomc/minutes/20030318.htm
2q2003,https://www.federalreserve.gov/fomc/minutes/20030625.htm
3q2003,https://www.federalreserve.gov/fomc/minutes/20030916.htm
4q2003,https://www.federalreserve.gov/fomc/minutes/20031209.htm
1q2004,https://www.federalreserve.gov/fomc/minutes/20040316.htm
2q2004,https://www.federalreserve.gov/fomc/minutes/20040630.htm
3q2004,https://www.federalreserve.gov/fomc/minutes/20040921.htm
4q2004,https://www.federalreserve.gov/fomc/minutes/20041214.htm
1q2005,https://www.federalreserve.gov/fomc/minutes/20050322.htm
2q2005,https://www.federalreserve.gov/fomc/minutes/20050630.htm
3q2005,https://www.federalreserve.gov/fomc/minutes/20050920.htm
4q2005,https://www.federalreserve.gov/fomc/minutes/20051213.htm
1q2006,https://www.federalreserve.gov/fomc/minutes/20060328.htm
2q2006,https://www.federalreserve.gov/fomc/minutes/20060629.htm
3q2006,https://www.federalreserve.gov/fomc/minutes/20060920.htm
4q2006,https://www.federalreserve.gov/fomc/minutes/20061212.htm
1q2007,https://www.federalreserve.gov/fomc/minutes/20070321.htm
2q2007,https://www.federalreserve.gov/fomc/minutes/20070628.htm
3q2007,https://www.federalreserve.gov/fomc/minutes/20070918.htm
4q2007,https://www.federalreserve.gov/monetarypolicy/fomcminutes20071211.htm
1q2008,https://www.federalreserve.gov/monetarypolicy/fomcminutes20080318.htm
2q2008,https://www.federalreserve.gov/monetarypolicy/fomc20080625.htm
3q2008,https://www.federalreserve.gov/monetarypolicy/fomcminutes20080916.htm
4q2008,https://www.federalreserve.gov/monetarypolicy/fomcminutes20081216.htm
1q2009,https://www.federalreserve.gov/monetarypolicy/fomcminutes20090318.htm
2q2009,https://www.federalreserve.gov/monetarypolicy/fomcminutes20090624.htm
3q2009,https://www.federalreserve.gov/monetarypolicy/fomcminutes20090923.htm
4q2009,https://www.federalreserve.gov/monetarypolicy/fomcminutes20091216.htm
1q2010,https://www.federalreserve.gov/monetarypolicy/fomcminutes20100316.htm
2q2010,https://www.federalreserve.gov/monetarypolicy/fomcminutes20100623.htm
3q2010,https://www.federalreserve.gov/monetarypolicy/fomcminutes20100921.htm
4q2010,https://www.federalreserve.gov/monetarypolicy/fomcminutes20101214.htm
1q2011,https://www.federalreserve.gov/monetarypolicy/fomcminutes20110315.htm
2q2011,https://www.federalreserve.gov/monetarypolicy/fomcminutes20110622.htm
3q2011,https://www.federalreserve.gov/monetarypolicy/fomcminutes20110921.htm
4q2011,https://www.federalreserve.gov/monetarypolicy/fomcminutes20111213.htm
1q2012,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120313.htm
2q2012,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120620.htm
3q2012,https://www.federalreserve.gov/monetarypolicy/fomcminutes20120913.htm
4q2012,https://www.federalreserve.gov/monetarypolicy/fomcminutes20121212.htm
1q2013,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130320.htm
2q2013,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130619.htm
3q2013,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130918.htm
4q2013,https://www.federalreserve.gov/monetarypolicy/fomcminutes20131218.htm
1q2014,https://www.federalreserve.gov/monetarypolicy/fomcminutes20140319.htm
2q2014,https://www.federalreserve.gov/monetarypolicy/fomcminutes20140618.htm
3q2014,https://www.federalreserve.gov/monetarypolicy/fomcminutes20140917.htm
4q2014,https://www.federalreserve.gov/monetarypolicy/fomcminutes20141217.htm
1q2015,https://www.federalreserve.gov/monetarypolicy/fomcminutes20150318.htm
2q2015,https://www.federalreserve.gov/monetarypolicy/fomcminutes20150617.htm
3q2015,https://www.federalreserve.gov/monetarypolicy/fomcminutes20150917.htm
4q2015,https://www.federalreserve.gov/monetarypolicy/fomcminutes20151216.htm
1q2016,https://www.federalreserve.gov/monetarypolicy/fomcminutes20160316.htm
2q2016,https://www.federalreserve.gov/monetarypolicy/fomcminutes20160615.htm
3q2016,https://www.federalreserve.gov/monetarypolicy/fomcminutes20160921.htm
4q2016,https://www.federalreserve.gov/monetarypolicy/fomcminutes20161214.htm
1q2017,https://www.federalreserve.gov/monetarypolicy/fomcminutes20170315.htm
2q2017,https://www.federalreserve.gov/monetarypolicy/fomcminutes20170614.htm
3q2017,https://www.federalreserve.gov/monetarypolicy/fomcminutes20170920.htm
4q2017,https://www.federalreserve.gov/monetarypolicy/fomcminutes20171213.htm
1q2018,https://www.federalreserve.gov/monetarypolicy/fomcminutes20180321.htm
2q2018,https://www.federalreserve.gov/monetarypolicy/fomcminutes20180613.htm
3q2018,https://www.federalreserve.gov/monetarypolicy/fomcminutes20180926.htm
4q2018,https://www.federalreserve.gov/monetarypolicy/fomcminutes20181219.htm
1q2019,https://www.federalreserve.gov/monetarypolicy/fomcminutes20190320.htm
2q2019,https://www.federalreserve.gov/monetarypolicy/fomcminutes20190619.htm
